video_id,title,published_at,views,likes,comments,tags,channel_id,duration_seconds
pL0jEjeM5hI,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26T10:00:23Z,11473,344,34,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'alteryx', 'webinar', 'alteryx webinar', 'how to become a data analyst', 'breaking into the data analyst field', 'data analytics', 'alteryx data analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,1220
eg_5EAUXs5o,Choosing a Domain to Make More Money,2021-10-19T10:00:16Z,20861,988,77,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'domain knowledge', 'data science domain', 'data analyst domain', 'is domain knowledge important', 'domain knowledge to make more money', 'domain vs technical skills', 'choosing a domain', 'how to choose a domain']",UC7cs8q-gJRlGwj4A8OmCmXg,521
ebjDwX8sUMk,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05T11:30:14Z,224633,4845,221,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'tableau tutorial', 'tableau tutorials', 'tableau tutorial for beginners', 'tableau tutorials for beginner', 'tableau tutorials for data analysts', 'tableau tutorials for data scientists', 'tableau basic', 'tableau basics', 'tableau projects']",UC7cs8q-gJRlGwj4A8OmCmXg,845
f6qxxtWkaUg,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28T11:30:07Z,290999,5930,105,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'tableau tutorial', 'tableau tutorials', 'tableau tutorial for beginners', 'tableau tutorials for beginner', 'tableau tutorials for data analysts', 'tableau tutorials for data scientists', 'tableau basic', 'tableau basics', 'tableau projects']",UC7cs8q-gJRlGwj4A8OmCmXg,385
6xv1KvCMF1Q,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21T11:30:01Z,932309,20384,455,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'tableau tutorial', 'tableau tutorials', 'tableau tutorial for beginners', 'tableau tutorials for beginner', 'tableau tutorials for data analysts', 'tableau tutorials for data scientists', 'tableau basic', 'tableau basics', 'tableau projects']",UC7cs8q-gJRlGwj4A8OmCmXg,1024
465x3JmMJYU,How NOT to Become a Data Analyst (Funny?),2021-09-07T11:30:01Z,17535,708,114,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'how not to become a data analyst', 'how to become a data analyst', 'becoming a data analyst', 'how to be a data analyst', 'Data analyst for beginners', 'how to get a data analyst job']",UC7cs8q-gJRlGwj4A8OmCmXg,291
Ns1ZpTxQnUE,100k Subscriber Play Button Unboxing,2021-08-31T11:30:04Z,2687,237,96,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', '100k subscriber', 'silver play button', '100k subscriber play button unboxing', 'silver play button unboxing', '100k subs alex the analyst', 'alex the analyst 100k']",UC7cs8q-gJRlGwj4A8OmCmXg,396
HiOtQMcI5wg,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24T11:30:01Z,319212,6942,726,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst portfolio projects', 'python web scraping', 'scraping data from amazon', 'web scraping with python', 'web scraping with beautifulsoup', 'web scraping data analysis', 'scraping data using beautifulsoup and requests', 'data analyst project']",UC7cs8q-gJRlGwj4A8OmCmXg,2834
CUa30M_FPhk,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17T11:30:01Z,100616,2648,157,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'interviewing at pwc', 'pwc interview', 'pwc', 'how to pass an interview at pwc', 'what is interviewing like at pwc', 'interview at pwc', 'pwc interviewing']",UC7cs8q-gJRlGwj4A8OmCmXg,1389
DKrSgSy6F1o,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13T14:38:59Z,4753,191,26,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', '100k livestream', 'alex the analyst 100k']",UC7cs8q-gJRlGwj4A8OmCmXg,3728
_zxPx1PQCqI,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11T11:30:05Z,143372,4389,481,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'new job', 'data analyst promotion', 'data analyst career path', 'working at pwc', 'pwc data analyst', 'data analyst pwc']",UC7cs8q-gJRlGwj4A8OmCmXg,959
UGF49YZZRNc,When To Start Applying To Your First Data Analyst Job,2021-07-21T11:30:04Z,92852,4819,245,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'when to start applying', 'first data analyst job', 'When to apply for a data analyst job', 'when to apply for a data analyst position', 'When To Start Applying To Your First Data Analyst Job', 'When to start applying for a data job', 'data analyst job', 'data analyst applying', 'applying for a data analyst job']",UC7cs8q-gJRlGwj4A8OmCmXg,251
aLp-6C-p-T0,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13T11:30:00Z,131003,5620,363,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst courses', 'data science courses', 'data scientist courses', 'stop taking courses', 'why you should stop taking courses', 'are courses bad']",UC7cs8q-gJRlGwj4A8OmCmXg,211
ocdwh0KYeUs,How to Create a Portfolio Website for FREE,2021-06-29T11:30:13Z,788657,17131,852,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Data Analyst portfolio', 'Data Analyst Portfolio website', 'Data science portfolio website', 'data science portfolio project', 'data science portfolio', 'how to create a portfolio', 'how to create a portfolio website', 'how to create a data analyst portfolio', 'how to create a data science portfolio', 'portfolio website', 'data analyst portfolio website free', 'how to create a free website']",UC7cs8q-gJRlGwj4A8OmCmXg,2129
iPYVYBtUTyE,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22T11:30:05Z,207787,3535,534,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'portfolio project', 'data analyst portfolio project', 'analyst portfolio project', 'data scientist portfolio project', 'python portfolio project', 'pandas portfolio project', 'python', 'python programming project', 'python project', 'data analyst python', 'data analyst python project']",UC7cs8q-gJRlGwj4A8OmCmXg,3645
dMHWOhgzUhU,How To Get a Data Analyst Job (with No Experience),2021-06-08T11:30:12Z,498279,21188,612,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'how to become a data analyst', 'data analyst with no experience', 'how to become a data analyst with no experience', 'becoming a data analyst with no experience', 'data analyst no experience', 'how to become a data analyst in 2021']",UC7cs8q-gJRlGwj4A8OmCmXg,457
A-LkxegXFX8,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03T11:30:01Z,6463,245,108,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Alex The Analyst wife']",UC7cs8q-gJRlGwj4A8OmCmXg,1585
RJw-GSXXguA,Favorite Tableau and Power BI Courses on Udemy,2021-06-01T11:30:03Z,34572,887,86,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Udemy courses', 'data analyst courses', 'tableau courses', 'power bi courses', 'Tableau vs power bi', 'best courses for data analysts']",UC7cs8q-gJRlGwj4A8OmCmXg,623
8rO7ztF4NtU,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25T11:30:01Z,464542,8542,890,"['Alex The Analyst', 'Data Analyst portfolio project', 'Data Analyst Portfolio Projects', 'Projects for data analysts', 'data analyst tableau', 'Data Analyst project', 'Data cleaning in sql', 'sql for data cleaning', 'how to clean data in sql', 'how to clean data', 'how to clean data in sql server', 'Data cleaning', 'Data Analyst data cleaning', 'data cleaning for data analysts', 'data cleaning for data analysis', 'sql portfolio project', 'sql project']",UC7cs8q-gJRlGwj4A8OmCmXg,3284
QILNlRvJlfQ,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18T11:30:04Z,421748,6462,472,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Data Analyst portfolio project', 'Data Analyst Portfolio Projects', 'Projects for data analysts', 'Data Analyst Tableau project', 'Data Analyst data visualizaion', 'data analyst tableau', 'tableau for data analysis', 'tableau project', 'data analyst portfolio', 'how to create a data analyst portfolio']",UC7cs8q-gJRlGwj4A8OmCmXg,3137
SVv0WwPzaUg,Asking My Family What I Do For a Living,2021-05-11T11:00:08Z,3784,195,55,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'what does a data analyst do', 'how much money does a data analyst make', 'data analyst salary', 'data analyst family', 'data analyst questions', 'alex the analyst family', 'alex the analyst salary', 'Data Analyst funny']",UC7cs8q-gJRlGwj4A8OmCmXg,757
qfyynHBFOsM,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04T11:00:31Z,2241939,37973,4416,"['Alex The Analyst', 'data analyst project', 'data analyst portfolio', 'data analyst portfolio project', 'data analyst projects for beginners', 'data analyst projects for resume', 'data analyst sql project', 'data analyst github', 'data analyst tableau project', 'Portfolio project for data analyst', 'data exploration project', 'projects for data analysts', 'project for data analyst', 'data analyst projects', 'sql portfolio project', 'sql project', 'data analyst sql', 'sql project for data analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,4629
m1KcNV-Zhmc,Advanced SQL Tutorial | Subqueries,2021-04-20T11:00:32Z,442791,9339,245,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'subqueries', 'sql subquery', 'sql subqueries', 'subqueries in sql', 'subquery in sql', 'advanced sql']",UC7cs8q-gJRlGwj4A8OmCmXg,517
IZRe0nwkuXc,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15T11:00:06Z,22478,817,141,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst questions', 'data analyst questions and answers', 'data analyst Q and A', 'data analyst Q/A', 'Data Analyst AMA', 'Questions for Data Analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,1145
9RRQtNnq3s0,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13T11:00:04Z,380950,12640,636,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'ibm data analyst', 'ibm data analytics', 'ibm data science', 'google data analyst', 'google data analytics', 'google professional certificate', 'ibm professional certificate', 'google vs ibm certificate', 'coursera google cert', 'coursera ibm cert', 'google vs ibm data analyst', 'google vs ibm data analytics certificate', 'ibm vs google certification', 'google vs ibm certification', 'google data analyst certification']",UC7cs8q-gJRlGwj4A8OmCmXg,358
